,docket,term,quest_total,word_total,jquest_p,jquest_r,jwords_p,jwords_r,NYT,UnanVote,CloseVote,votes_total,dec_type,led,analu,fulldocket,us,sct,rec,party_1,party_2,lctdir,chief,natct,issue,value,dir,dis,win,vote,stwtdir,mardir,brndir,bwdir,jackdir,blkmdir,powdir,rehndir,stevdir,ocondir,scaldir,kendir,soutdir,thomdir,gindir,brydir,robtdir,altodir,stwtm,marm,brnm,bwm,burgm,blkmm,powm,rehnm,stevm,oconm,scalm,kenm,soutm,thomm,ginm,brym,robtm,altom,moa,win_oconnor,win_rehnquist,petac,respac,otherac,totalac,sgpet,sgresp,sgpetac,sgrespac,sgotherac,sgamicus,liberalac,conservac,sglibparty,sgconparty,sglibac,sgconac,no_cases,more_words,more_quest,WPerQR,WPerQP,USParty1,USParty2,civlib,economics,judpower,federalism,logno_cases,logquest_total,logword_total,Dummy94,term1979,term1980,term1981,term1982,term1983,term1984,term1985,term1986,term1987,term1988,term1989,term1990,term1991,term1992,term1993,term1994,term1995,term1996,term1997,term1998,term1999,term2000,term2001,term2002,term2003,term2004,term2005,term2006,term2007,counter,MQ,_Ilctdir_1,_IlctXMQ_1,OtherVote,USParty,log_quest_total,log_word_total,win_stevens,win_ginsburg,win_souter,win_breyer,win_kennedy,win_alito,win_roberts,win_scalia,win_thomas
1,78-5471,1979,154,2704,75,79,1318,1386,0. no,0. no,0. no,9,1. orally argued signed opinion,063/0715,0. case citation,No. 78-5471,445/0684,100/1432,0,CC,US,0. conservative,2. burger,BURG6,70,1. criminal procedure,1. liberal,3. reversed and remanded,Petitioner Wins,72,1. liberal,1. liberal,1. liberal,1. liberal,NA,1. liberal,1. liberal,0. conservative,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,0. dissent,1. majority,1. majority,0. dissent,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,NA,BRN,NA,0. Respondent,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No,92,1. respondent more words,1,17.54430389,17.57333374,0. no,1. yes,1. yes,0. no,0. no,0. no,4.521788597,5.036952496,7.902487278,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,0,0,1,1. yes,5.036952496,7.902487278,1. Petitioner,NA,NA,NA,NA,NA,NA,NA,NA
2,78-1143,1979,191,3498,98,93,2069,1429,0. no,0. no,1. yes,9,1. orally argued signed opinion,062/0461,0. case citation,No. 78-1143,444/0252,100/0540,0,DOS,ALIEN,1. liberal,2. burger,BURG6,373,2. civil rights,0. conservative,3. reversed and remanded,Petitioner Wins,54,1. liberal,1. liberal,1. liberal,0. conservative,NA,0. conservative,0. conservative,0. conservative,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0. dissent,0. dissent,0. dissent,1. majority,1. majority,1. majority,1. majority,1. majority,0. dissent,NA,NA,NA,NA,NA,NA,NA,NA,NA,BURG,NA,1. Petitioner,0,0,0,0,1,0,0,0,0,0,0,0,No,Yes,No,No,92,0. petitioner more words,0,15.36559105,21.11224556,1. yes,0. no,1. yes,0. no,0. no,0. no,4.521788597,5.25227356,8.159946442,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,1,0.152999997,0,1. yes,5.25227356,8.159946442,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
3,78-857,1979,83,1817,57,26,1057,760,1. yes,0. no,1. yes,9,1. orally argued signed opinion,063/0115,0. case citation,"No. 78-857, No. 78-997",444/0672,100/0856,0,NLRB,SCHOOL,0. conservative,2. burger,BURG6,575,7. unions,0. conservative,1. affirmed,Respondent Wins,54,0. conservative,1. liberal,1. liberal,1. liberal,NA,1. liberal,0. conservative,0. conservative,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,0. dissent,0. dissent,0. dissent,1. majority,0. dissent,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,NA,BURG,NA,0. Respondent,2,2,1,5,1,0,0,0,0,0,2,2,Yes,No,No,No,92,0. petitioner more words,0,29.23077011,18.54385948,1. yes,0. no,0. no,1. yes,0. no,0. no,4.521788597,4.418840408,7.50494194,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,0,0,0,1. yes,4.418840408,7.50494194,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
4,78-1335,1979,138,2446,68,70,1066,1380,0. no,0. no,0. no,9,1. orally argued signed opinion,063/0073,0. case citation,No. 78-1335,444/0620,100/0826,0,IL CITY,ELEE,1. liberal,2. burger,BURG6,401,3. first amendment,1. liberal,1. affirmed,Respondent Wins,81,1. liberal,1. liberal,1. liberal,1. liberal,NA,1. liberal,1. liberal,0. conservative,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,0. dissent,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,NA,BURG,NA,1. Petitioner,0,6,0,6,0,0,0,0,0,0,6,0,No,No,No,No,92,1. respondent more words,1,19.7142849,15.67647076,0. no,0. no,1. yes,0. no,0. no,0. no,4.521788597,4.927253723,7.802209377,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,1,0.152999997,1,0. no,4.927253723,7.802209377,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
5,79-1082,1979,140,2422,70,70,1033,1389,0. no,0. no,1. yes,9,1. orally argued signed opinion,065/0289,0. case citation,No. 79-1082,447/0490,100/2305,0,NLRB,UNION,0. conservative,2. burger,BURG6,555,7. unions,0. conservative,1. affirmed,Respondent Wins,54,1. liberal,0. conservative,0. conservative,0. conservative,NA,0. conservative,0. conservative,1. liberal,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0. dissent,1. majority,1. majority,1. majority,0. dissent,1. majority,1. majority,0. dissent,0. dissent,NA,NA,NA,NA,NA,NA,NA,NA,NA,BRN,NA,1. Petitioner,3,0,0,3,1,0,0,0,0,0,3,0,Yes,No,No,No,92,1. respondent more words,9,19.84285736,14.75714302,1. yes,0. no,0. no,1. yes,0. no,0. no,4.521788597,4.941642284,7.792348862,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,0,0,0,1. yes,4.941642284,7.792348862,1. Petitioner,NA,NA,NA,NA,NA,NA,NA,NA
6,78-1870,1979,212,3898,129,83,2226,1672,0. no,1. yes,0. no,9,1. orally argued signed opinion,063/0154,0. case citation,No. 78-1870,445/0001,100/0883,0,ER,LABR,1. liberal,2. burger,BURG6,561,7. unions,1. liberal,1. affirmed,Respondent Wins,90,1. liberal,1. liberal,1. liberal,1. liberal,NA,1. liberal,1. liberal,1. liberal,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,NA,BURG,NA,0. Respondent,1,3,1,5,0,1,0,0,0,0,3,1,Yes,No,No,No,92,0. petitioner more words,0,20.14457893,17.2558136,0. no,1. yes,0. no,1. yes,0. no,0. no,4.521788597,5.356586456,8.268218994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,1,0.152999997,0,1. yes,5.356586456,8.268218994,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
7,78-972,1979,85,1870,26,59,748,1122,0. no,1. yes,0. no,9,1. orally argued signed opinion,063/0250,0. case citation,No. 78-972,445/0115,100/0948,0,US,WITNESS,1. liberal,2. burger,BURG6,23,1. criminal procedure,0. conservative,2. reversed,Petitioner Wins,90,0. conservative,0. conservative,0. conservative,0. conservative,NA,0. conservative,0. conservative,0. conservative,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,NA,BURG,NA,1. Petitioner,0,0,0,0,1,0,0,0,0,0,0,0,No,Yes,No,No,92,1. respondent more words,1,19.0169487,28.76922989,1. yes,0. no,1. yes,0. no,0. no,0. no,4.521788597,4.442651272,7.53369379,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,1,0.152999997,0,1. yes,4.442651272,7.53369379,1. Petitioner,NA,NA,NA,NA,NA,NA,NA,NA
8,77-1819,1979,106,1952,53,53,1007,945,0. no,0. no,0. no,9,6. orally argued per curiam,062/0365,0. case citation,No. 77-1819,444/0206,100/0399,0,FISH,TENANT,1. liberal,2. burger,BURG6,507,4. due process,0. conservative,6. 5 + remanded,Petitioner Wins,63,0. conservative,1. liberal,1. liberal,0. conservative,NA,1. liberal,0. conservative,0. conservative,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,0. dissent,0. dissent,1. majority,1. majority,0. dissent,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,NA,BURG,NA,1. Petitioner,1,4,0,5,0,0,1,0,0,1,4,1,No,No,No,Yes,92,0. petitioner more words,9,17.83018875,19,0. no,0. no,1. yes,0. no,0. no,0. no,4.521788597,4.663439274,7.576609612,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,1,0.152999997,1,0. no,4.663439274,7.576609612,1. Petitioner,NA,NA,NA,NA,NA,NA,NA,NA
9,78-1874,1979,152,2514,65,87,1067,1447,0. no,1. yes,0. no,9,6. orally argued per curiam,063/0185,0. case citation,No. 78-1874,445/0039,100/1092,0,MA,AC,0. conservative,2. burger,BURG6,751,9. judicial power,0. conservative,8. petition denied or appeal dismissed,Respondent Wins,90,0. conservative,0. conservative,0. conservative,0. conservative,NA,0. conservative,0. conservative,0. conservative,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,NA,BURG,NA,0. Respondent,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No,92,1. respondent more words,1,16.63218307,16.41538429,0. no,0. no,0. no,0. no,1. yes,0. no,4.521788597,5.023880482,7.829630375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,0,0,0,0. no,5.023880482,7.829630375,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
10,78-5937,1979,105,2280,42,63,1079,1201,0. no,0. no,0. no,9,1. orally argued signed opinion,062/0238,0. case citation,No. 78-5937,444/0085,100/0338,0,AC,IL,0. conservative,2. burger,BURG6,16,1. criminal procedure,1. liberal,3. reversed and remanded,Petitioner Wins,63,1. liberal,1. liberal,1. liberal,1. liberal,NA,0. conservative,1. liberal,0. conservative,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,0. dissent,0. dissent,1. majority,0. dissent,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,NA,BRN,NA,0. Respondent,1,1,0,2,0,0,0,0,0,0,1,1,No,No,No,No,92,1. respondent more words,1,19.06349182,25.69047546,0. no,0. no,1. yes,0. no,0. no,0. no,4.521788597,4.653960228,7.731930733,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152999997,0,0,1,0. no,4.653960228,7.731930733,1. Petitioner,NA,NA,NA,NA,NA,NA,NA,NA
