"","caseId","justiceName","pitch_diff","petitioner_vote","justiceMQ","unpleasantDiff_totalWords","pleasantDiff_totalWords","docket","jquest_r","jquest_p","jwords_r","jwords_p"
"1","2004-001","DHSouter",0.90160344,1,-1.698,-0.579133987,-0.804230928,"03-583","80","65","1961","1837"
"2","2004-001","WHRehnquist",-0.321090296,1,1.49,-6.069752216,-3.034876108,"03-583","80","65","1961","1837"
"3","2004-001","AScalia",-0.231753939,1,2.725,-0.47785759,-1.048832536,"03-583","80","65","1961","1837"
"4","2004-001","JPStevens",0.099662812,1,-2.522,4.843580723,2.47443819,"03-583","80","65","1961","1837"
"5","2004-001","AMKennedy",-1.448688714,1,0.534,-3.536757231,1.53401494,"03-583","80","65","1961","1837"
"6","2004-001","SGBreyer",-0.140443249,1,-1.182,-1.911514282,-0.794101,"03-583","80","65","1961","1837"
"7","2004-001","RBGinsburg",0.662593694,1,-1.697,-3.296613455,-0.30599761,"03-583","80","65","1961","1837"
"8","2004-002","RBGinsburg",-0.642400846,1,-1.697,2.520576,-0.276491642,"02-1028","65","56","1886","1367"
"9","2004-002","SDOConnor",-1.0009875,1,0.084,-3.121687651,-4.828280926,"02-1028","65","56","1886","1367"
"10","2004-002","JPStevens",-0.393831336,1,-2.522,-1.20649147,-0.337390542,"02-1028","65","56","1886","1367"
"11","2004-002","DHSouter",-0.904850693,1,-1.698,-1.238887787,0.047285795,"02-1028","65","56","1886","1367"
"12","2004-002","AMKennedy",0.111240116,1,0.534,-2.812026978,0.789530635,"02-1028","65","56","1886","1367"
"13","2004-002","SGBreyer",-0.184230876,1,-1.182,-2.522890329,-0.746879816,"02-1028","65","56","1886","1367"
"14","2004-004","AScalia",0.54293928,0,2.725,-1.505489349,-1.561118603,"03-377","88","52","2634","1204"
"15","2004-004","SDOConnor",0.865256745,1,0.084,2.339181185,-4.327485085,"03-377","88","52","2634","1204"
"16","2004-004","RBGinsburg",0.595994789,1,-1.697,0.338718176,0.990099013,"03-377","88","52","2634","1204"
"17","2004-004","SGBreyer",0.033479526,1,-1.182,-1.583590031,-2.081361055,"03-377","88","52","2634","1204"
"18","2004-004","JPStevens",-0.484347739,1,-2.522,-1.038461566,-0.615384579,"03-377","88","52","2634","1204"
"19","2004-007","SGBreyer",-0.040473742,1,-1.182,3.235037327,-1.28851819,"03-409","60","63","1860","1458"
"20","2004-007","AScalia",-0.709854668,1,2.725,-1.545372486,1.787960768,"03-409","60","63","1860","1458"
"21","2004-007","WHRehnquist",-0.064379709,1,1.49,1.309121609,1.09797287,"03-409","60","63","1860","1458"
"22","2004-007","AMKennedy",0.215635658,1,0.534,-2.328431368,-0.686274529,"03-409","60","63","1860","1458"
"23","2004-007","RBGinsburg",-0.709725308,1,-1.697,-0.218423367,-1.082621098,"03-409","60","63","1860","1458"
"24","2004-007","JPStevens",0.458710816,1,-2.522,-2.353592634,-5.579399109,"03-409","60","63","1860","1458"
"25","2004-007","SDOConnor",1.329715474,1,0.084,2.807806969,3.170572281,"03-409","60","63","1860","1458"
"26","2004-008","RBGinsburg",0.786499375,0,-1.697,1.284905672,-1.629303932,"03-407","79","66","2308","1514"
"27","2004-008","SDOConnor",-0.775312311,1,0.084,-2.620087385,-0.393302202,"03-407","79","66","2308","1514"
"28","2004-008","JPStevens",-0.860921694,0,-2.522,2.636504412,-0.64441967,"03-407","79","66","2308","1514"
"29","2004-008","DHSouter",-0.296959319,0,-1.698,-0.609142542,0.376079082,"03-407","79","66","2308","1514"
"30","2004-008","AMKennedy",0.698480538,1,0.534,1.350757837,-5.095541477,"03-407","79","66","2308","1514"
"31","2004-010","DHSouter",-0.304951601,1,-1.698,0.509259224,-2.916666508,"02-1192","42","50","1252","1357"
"32","2004-010","SDOConnor",-1.819154197,1,0.084,-0.860215187,1.218638182,"02-1192","42","50","1252","1357"
"33","2004-010","RBGinsburg",0.872947977,0,-1.697,-1.785357952,0.453820229,"02-1192","42","50","1252","1357"
"34","2004-010","SGBreyer",0.982279825,1,-1.182,-2.839756489,-0.811359167,"02-1192","42","50","1252","1357"
"35","2004-010","JPStevens",-1.466097393,0,-2.522,-5.570850372,5.263157845,"02-1192","42","50","1252","1357"
"36","2004-011","DHSouter",0.279977567,1,-1.698,-2.928571224,0.333333373,"03-931","50","62","2442","1683"
"37","2004-011","AScalia",-0.464943653,1,2.725,1.993445158,-1.361481428,"03-931","50","62","2442","1683"
"38","2004-011","RBGinsburg",-0.560394719,1,-1.697,0.222622871,-1.447049022,"03-931","50","62","2442","1683"
"39","2004-011","SDOConnor",-0.529624972,1,0.084,2.790697575,-0.263566017,"03-931","50","62","2442","1683"
"40","2004-011","JPStevens",0.85955012,1,-2.522,1.078876972,0.707206249,"03-931","50","62","2442","1683"
"41","2004-011","AMKennedy",-1.14024127,1,0.534,2.49101162,-5.084745884,"03-931","50","62","2442","1683"
"42","2004-013","AScalia",1.325165984,0,2.725,4.858906269,-2.010582209,"03-1293","13","55","299","1761"
"43","2004-013","AScalia",1.325165984,0,2.725,4.858906269,-2.010582209,"03-1293","13","55","299","1761"
"44","2004-013","DHSouter",0.065656488,0,-1.698,1.072230339,-1.508602858,"03-1293","13","55","299","1761"
"45","2004-013","DHSouter",0.065656488,0,-1.698,1.072230339,-1.508602858,"03-1293","13","55","299","1761"
"46","2004-013","JPStevens",0.880359168,0,-2.522,0.826709032,0.217276096,"03-1293","13","55","299","1761"
"47","2004-013","JPStevens",0.880359168,0,-2.522,0.826709032,0.217276096,"03-1293","13","55","299","1761"
"48","2004-013","RBGinsburg",1.752868107,0,-1.697,2.2541821,-1.815585375,"03-1293","13","55","299","1761"
"49","2004-013","RBGinsburg",1.752868107,0,-1.697,2.2541821,-1.815585375,"03-1293","13","55","299","1761"
"50","2004-014","RBGinsburg",0.274440433,0,-1.697,-1.493396759,-0.13244772,"04-104","122","89","4123","4011"
"51","2004-014","RBGinsburg",0.274440433,0,-1.697,-1.493396759,-0.13244772,"04-104","122","89","4123","4011"
"52","2004-014","JPStevens",0.357816817,0,-2.522,0.715820789,0.393431783,"04-104","122","89","4123","4011"
"53","2004-014","JPStevens",0.357816817,0,-2.522,0.715820789,0.393431783,"04-104","122","89","4123","4011"
