,caseId,justiceName,petac,respac,sgpetac,sgrespac,justiceMQ,petNumStat,respNumStat,lowerConservative,lowerConXjusticeMQ,unpleasantDiff_totalWords,pleasantDiff_totalWords,questionDifference,petVote
1,2007-056,JGRoberts,1,0,0,0,1.616,2,10,1,1.616000056,1.040847778,0.116348505,18,0
2,2008-075,AMKennedy,6,15,0,0,0.588,8,10,0,0,-2.115072966,-1.666642427,-9,1
3,2008-075,CThomas,6,15,0,0,4.274,8,10,0,0,0,0,0,0
4,2008-075,SGBreyer,6,15,0,0,-1.11,8,10,0,0,1.840220451,2.013774157,1,1
5,2008-075,JGRoberts,6,15,0,0,1.699,8,10,0,0,2.814195395,0.007534504,-17,1
6,2008-075,DHSouter,6,15,0,0,-1.506,8,10,0,0,4.651162624,3.410852671,14,1
7,2006-003,DHSouter,7,2,0,0,-1.465,2,10,1,-1.465000033,1.845991373,2.689873219,-14,1
8,2008-047,RBGinsburg,2,0,0,0,-1.65,2,10,1,-1.649999976,-3.140025616,1.574918985,-1,1
9,2008-070,JPStevens,0,0,0,0,-2.545,2,10,1,-2.545000076,2.176293373,-1.784834623,-11,0
10,2008-028,JPStevens,6,0,0,0,-2.545,2,10,1,-2.545000076,-1.529180527,6.719977379,-5,1
11,2005-074,JGRoberts,1,0,0,0,1.568,2,10,1,1.567999959,-1.714859962,-2.94964838,9,0
12,2008-070,AMKennedy,0,0,0,0,0.588,2,10,1,0.588,-5.639976501,2.527761698,3,0
13,2008-070,CThomas,0,0,0,0,4.274,2,10,1,4.274000168,0,0,0,0
14,2008-070,SAAlito,0,0,0,0,1.898,2,10,1,1.898000002,0.164835453,-0.482295513,3,0
15,2004-001,AScalia,1,0,0,0,2.725,2,10,1,2.724999905,-0.47785759,-1.048832536,-15,1
16,2008-028,DHSouter,6,0,0,0,-1.506,2,10,1,-1.506000042,1.193701982,-0.922754407,-12,1
17,2005-074,SGBreyer,1,0,0,0,-1.4,2,10,1,-1.399999976,-1.079150677,-2.851445913,6,0
18,2006-003,JPStevens,7,2,0,0,-2.437,2,10,1,-2.437000036,2.030812263,-1.930772305,-9,1
19,2008-028,SAAlito,6,0,0,0,1.898,2,10,1,1.898000002,2.571428537,2,10,1
20,2004-001,DHSouter,1,0,0,0,-1.698,2,10,1,-1.697999954,-0.579133987,-0.804230928,-5,1
21,2004-001,RBGinsburg,1,0,0,0,-1.697,2,10,1,-1.697000027,-3.296613455,-0.30599761,6,1
22,2008-028,RBGinsburg,6,0,0,0,-1.65,2,10,1,-1.649999976,-0.853563786,1.119609952,1,1
