docketId,term,naturalCourt,justiceName,justice,petitioner_vote,pitch_diff
1982-038-01,1982,1507,SDOConnor,104,1,-0.448692045
1982-038-01,1982,1507,WHRehnquist,102,1,-0.156085549
1982-038-01,1982,1507,WEBurger,99,1,-0.448082474
1982-038-01,1982,1507,JPStevens,103,1,-0.358370416
1982-038-01,1982,1507,TMarshall,98,1,0.02064441
1982-080-01,1982,1507,WEBurger,99,1,-1.835527103
1982-085-01,1982,1507,WEBurger,99,1,0.57761418
1982-088-01,1982,1507,WEBurger,99,1,-1.041652372
1982-091-01,1982,1507,WEBurger,99,1,-2.911314509
1982-092-01,1982,1507,WEBurger,99,1,-4.68752435
1982-126-01,1982,1507,WEBurger,99,0,-0.710019234
1982-129-01,1982,1507,WEBurger,99,0,-7.774969642
1982-132-01,1982,1507,WEBurger,99,1,-0.121720233
1983-013-01,1983,1507,JPStevens,103,0,0.072747605
1983-013-01,1983,1507,WHRehnquist,102,0,-0.308716963
1983-015-01,1983,1507,WEBurger,99,0,0
1983-028-01,1983,1507,WEBurger,99,1,-1.366526145
1983-030-01,1983,1507,WEBurger,99,1,-0.305703548
1983-036-01,1983,1507,WEBurger,99,0,-0.095636653
1983-048-01,1983,1507,WEBurger,99,1,-8.968786087
1983-058-01,1983,1507,JPStevens,103,1,-0.540806499
1983-058-01,1983,1507,TMarshall,98,1,-0.738088717
1983-081-01,1983,1507,SDOConnor,104,1,-0.839270529
1983-087-01,1983,1507,TMarshall,98,0,-0.611476249
1983-087-01,1983,1507,WHRehnquist,102,0,-0.381741967
1983-087-01,1983,1507,SDOConnor,104,0,0.176388355
1983-087-01,1983,1507,LFPowell,101,0,0.637087176
1983-087-01,1983,1507,WEBurger,99,0,0.377339672
1983-087-01,1983,1507,JPStevens,103,0,-0.697644796
1983-088-01,1983,1507,LFPowell,101,1,-0.563046621
1983-089-01,1983,1507,SDOConnor,104,1,0.203058075
1983-089-01,1983,1507,WEBurger,99,1,0.357352769
1983-089-01,1983,1507,JPStevens,103,0,-0.715716445
1983-091-01,1983,1507,JPStevens,103,1,-0.010975045
1983-091-01,1983,1507,SDOConnor,104,1,0.45683277
1983-091-01,1983,1507,WEBurger,99,1,-0.081150242
1983-091-01,1983,1507,WHRehnquist,102,1,-0.401648444
1983-098-01,1983,1507,WEBurger,99,0,0.005483366
1983-098-01,1983,1507,WHRehnquist,102,0,0.132793721
1983-110-01,1983,1507,SDOConnor,104,0,0.045339485
1983-110-01,1983,1507,WHRehnquist,102,0,-0.483947562
1983-110-01,1983,1507,WEBurger,99,0,-0.890034083
1983-116-01,1983,1507,WEBurger,99,1,-6.016219022
1983-124-01,1983,1507,WEBurger,99,1,-3.990560918
1983-127-01,1983,1507,WEBurger,99,1,-0.208778697
1983-128-01,1983,1507,SDOConnor,104,1,0.092049152
1983-128-01,1983,1507,WEBurger,99,1,1.730969101
1983-139-01,1983,1507,WEBurger,99,0,-0.43873141
1983-141-01,1983,1507,WEBurger,99,1,3.17055227
1983-147-01,1983,1507,WHRehnquist,102,1,0.107701372
1983-147-01,1983,1507,SDOConnor,104,0,0.325497474
1983-166-01,1983,1507,SDOConnor,104,1,-0.679668236
1984-023-01,1984,1507,SDOConnor,104,0,-0.563086188
1984-023-01,1984,1507,WEBurger,99,0,1.171575708
1984-026-01,1984,1507,WEBurger,99,1,-2.382553595
